0	 Arguman devrait créer un espace privé
1	 Créer une liste de diffusion en plus de la liste de discussion pour l'organisation du processus constituant inter-ville
2	 En grammaire, le «masculin» doit être renommé «neutre».
3	 Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans.
4	 Il faut interdire la pratique du « lancer de nain »
5	 Il n'existe pas d'outils numérique permettant de créer un thème / problématique / question, de permettre à tous de particper et de mettre en avant les interventions les plus pertinentes puis de prendre des décisions à partir de toute la participation
6	 La liste de discussion pour l'organisation du processus constituant inter-ville doit être publique
7	 l'apéro de rentrée existe
8	 Le café est bon pour la santé
9	 L'enfer est pavé de bonnes intentions
